ID_638,ID_638,agmatine amidinohydrolase,Agmatine + H2O=>Putrescine + Urea,CD630_08910,Agmatinase (Agmatine ureohydrolase) (AUH),Agmatinase (EC 3.5.3.11)
ID_467,ID_467,ornithine carbamoyltransferase,M-cbp-c_c0 + Ornithine=>Citrulline + Phosphate,CD630_20300,Ornithine carbamoyltransferase (OTCase),Ornithine carbamoyltransferase (EC 2.1.3.3)
ID_135,ID_135,proline racemase,L-Proline=>D-Proline,CD630_32370 or CD630_20280 or CD630_28190 or CD630_04480,Proline racemase,Proline racemase (EC 5.1.1.4)
ID_530,ID_530,butanal:NADP+ oxidoreductase (CoA-acylating),M-btcoa-c_c0 + H+ + NADPH=>Butanal + CoA + NADP,CD630_03340 or CD630_29660,Aldehyde-alcohol dehydrogenase,Acetaldehyde dehydrogenase (EC 1.2.1.10) / Alcohol dehydrogenase (EC 1.1.1.1)
ID_502,ID_502,(S)-acetoin:NAD+ oxidoreductase,DTYL + H+ + NADH=>(S)-Acetoin + NAD,CD630_11820,3-oxoacyl-[acyl-carrier protein,"3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100), FadG"
ID_615,ID_615,(R)-acetoin:NAD+ oxidoreductase,DTYL + H+ + NADH=>ACTN + NAD,CD630_11820,3-oxoacyl-[acyl-carrier protein,"3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100), FadG"
ID_504,ID_504,trans-2-enoyl-CoA reductase (NADP+),M-ctnycoa-c_c0 + H+ + NADPH=>M-btcoa-c_c0 + NADP,CD630_03990 or CD630_10540,"Acyl-CoA dehydrogenase, short-chain specific","Electron-bifurcating caffeyl-CoA reductase-Etf complex, caffeyl-CoA reductase subunit"
ID_463,ID_463,oxidoreductase acting on the CH-OH group of donors with NAD+ as acceptor,Butanal + H+ + NADH=>n-Butanol + NAD,CD630_03340 or CD630_19070 or CD630_29660,Aldehyde-alcohol dehydrogenase,Acetaldehyde dehydrogenase (EC 1.2.1.10) / Alcohol dehydrogenase (EC 1.1.1.1)
ID_500,ID_500,carbonate hydro-lyase,CO2 + H2O=>H+ + H2CO3,CD630_22130,Carbonic anhydrase,"Carbonic anhydrase, beta class (EC 4.2.1.1)"
ID_175,ID_175,butanal:NAD+ oxidoreductase (CoA-acylating),M-btcoa-c_c0 + H+ + NADH=>Butanal + CoA + NAD,CD630_03340 or CD630_29660,Aldehyde-alcohol dehydrogenase,Acetaldehyde dehydrogenase (EC 1.2.1.10) / Alcohol dehydrogenase (EC 1.1.1.1)
ID_272,ID_272,phosphate butyryltransferase,M-btcoa-c_c0 + Phosphate=>Butanoylphosphate + CoA,CD630_01120 or CD630_07150 or CD630_24250,Phosphate butyryltransferase (Phosphotransbutyrylase),Branched-chain phosphotransacylase (EC 2.3.1.- )
ID_251,ID_251,butyrate kinase,ADP + Butanoylphosphate=>M-2but-c_c0 + ATP,CD630_01130 or CD630_23790 or CD630_011301,Butyrate kinase (Branched-chain carboxylic acid kinase) (BK 2),Branched-chain acyl kinase (EC 2.7.2.-)
